htid,title,author,year,source
mdp.39015019230310,First Lensman,E. E. 'Doc' Smith,1950,laure
pst.000044255312,First Lensman,"Edward E. Smith, Ph.D.",1950,laure
mdp.39015019230302,Galactic Patrol,E. E. 'Doc' Smith,1950,laure
mdp.39015049634820,Pebble in the Sky,Isaac Asimov,1950,laure
mdp.39015014689684,Needle,Hal Clement,1950,laure
mdp.39015002385105,"The Lion, the Witch and the Wardrobe",C. S. Lewis,1950,laure
mdp.39015000634991,"Gather, Darkness!",Fritz Leiber,1950,laure
mdp.39015031772513,Destination: Infinity,Henry Kuttner,1950,laure
pst.000018715736,Fury,Henry Kuttner,1950,laure
mdp.39015027254021,Farmer in the Sky,Robert A. Heinlein,1950,laure
mdp.39015021538254,The Dreaming Jewels,Theodore Sturgeon,1950,laure
osu.32435057544991,The Synthetic Man,Theodore Sturgeon,1950,laure
nnc1.cu16181638,The Castle of Iron,L. Sprague de Camp & Fletcher Pratt,1950,laure
osu.32435059497545,Seetee Shock,Jack Williamson,1950,laure
cub.p101271903013,Seetee Shock,Will Stewart,1950,laure
osu.32435060537693,Into Plutonian Depths,Stanton A. Coblentz,1950,laure
mdp.39015008862560,The Voyage of the Space Beagle,A. E. van Vogt,1950,laure
mdp.39015020731991,Cosmic Engineers,Clifford D. Simak,1950,laure
osu.32435059312066,The House That Stood Still,A. E. van Vogt,1950,laure
uc1.b3818660,Brimstone in the Garden,Elizabeth Cadell,1950,laure
mdp.39015004754530,The Black Fox,Gerald Heard,1950,laure
pst.000025147759,Elmer and the Dragon,Ruth Stiles Gannett,1950,laure
mdp.39015004036052,The 13 Clocks,James Thurber,1950,laure
mdp.39015016415534,The Beautiful Bequest,Eric Hatch,1950,laure
mdp.39015066688105,"After 12,000 Years",Stanton A. Coblentz,1950,laure
mdp.39015010228222,Peter Graves,William Pène du Bois,1950,laure
coo.31924022495448,The Lady Decides,"David H. Keller, M.D.",1950,laure
uc1.$b243190,Night Journey,Albert J. Guerard,1950,laure
uc1.$b244266,The Strange Journeys of Colonel Polders,Lord Dunsany,1950,laure
wu.89099249120,On the Trail of 1960: A Utopian Novel,Ray H. Wiley,1950,laure
mdp.39015033480230,It Happened Like This,Philip Reynolds (1916-),1950,laure
uc1.$b63365,When and If,Philip Reynolds (1916-),1950,laure
uga1.32108011174995,Bandersnatch,T. E. Ryves,1950,laure
cub.p101082209012,The Astrologer: A Satirical Novel,Edward Hyams,1950,laure
uc1.b3868725,The Bump on Brannigan's Head,Myles Connolly,1950,laure
uc1.b3751224,A Dog's Head,Jean Dutourd,1950,laure
hvd.hn5msh,The Dark Portal,John Furnell,1950,laure
uc1.32106010566245,All and Everything: Beelzebub's Tales to His Grandson,G. Gurdjieff,1950,laure
mdp.39015008881792,The Married Look,Robert Nathan,1950,laure
hvd.hwpt86,Shadow of Madness,Hugh Pentecost,1950,laure
ppt.ssfcbz201808000112,Donovan's brain / by Curt Siodmak.,"Siodmak, Curt, 1902-2000",1950,temple
mdp.39015017656862,The Weapon Shops of Isher,A. E. van Vogt,1951,laure
mdp.39015002288721,"The Stars, Like Dust",Isaac Asimov,1951,laure
mdp.39015019147258,Gray Lensman,E. E. 'Doc' Smith,1951,laure
uc1.31822025915893,Gray Lensman,"Edward E. Smith, Ph.D.",1951,laure
mdp.39015014366226,The Puppet Masters,Robert A. Heinlein,1951,laure
